100559ms
t Pt t 总场 目标 海面 耦合 
0 -0.61559374 173.61988 -0.040594241 -0.040594241 0 0
0.03125 0.31279882 173.65113 0.067320181 0.067320181 0 0
0.0625 2.6720176 173.68238 0.15398093 0.15398093 0 0
0.09375 -1.7317652 173.71363 -0.31575707 -0.31575707 0 0
0.125 -10.458371 173.74488 -0.51022043 -0.51022043 0 0
0.15625 8.2022704 173.77613 1.3034055 1.3034055 0 0
0.1875 36.888527 173.80738 1.451771 1.451771 0 0
0.21875 -33.905313 173.83863 -4.7608956 -4.7608956 0 0
0.25 -117.15859 173.86988 -3.4257836 -3.4257836 0 0
0.28125 123.6667 173.90113 15.436963 15.436963 0 0
0.3125 334.71217 173.93238 6.1250865 6.1250865 0 0
0.34375 -400.66498 173.96363 -44.507933 -44.507933 0 0
0.375 -859.03913 173.99488 -5.4341354 -5.4341354 0 0
0.40625 1158.0714 174.02613 114.17427 114.17427 0 0
0.4375 1977.1709 174.05738 -13.815861 -13.815861 0 0
0.46875 -2995.0287 174.08863 -260.47991 -260.47991 0 0
0.5 -4071.3718 174.11988 90.014835 90.014835 0 0
0.53125 6945.2867 174.15113 527.73113 527.73113 0 0
0.5625 7475.8945 174.18238 -297.40229 -297.40229 0 0
0.59375 -14463.254 174.21363 -946.78939 -946.78939 0 0
0.625 -12181.488 174.24488 746.10318 746.10318 0 0
0.65625 27078.151 174.27613 1496.9279 1496.9279 0 0
0.6875 17481.405 174.30738 -1551.6059 -1551.6059 0 0
0.71875 -45615.746 174.33863 -2068.757 -2068.757 0 0
0.75 -21817.247 174.36988 2766.5351 2766.5351 0 0
0.78125 69187.112 174.40113 2462.9721 2462.9721 0 0
0.8125 23124.571 174.43238 -4298.6715 -4298.6715 0 0
0.84375 -94525.479 174.46363 -2454.0594 -2454.0594 0 0
0.875 -19736.753 174.49488 5872.2132 5872.2132 0 0
0.90625 116365.67 174.52613 1907.0983 1907.0983 0 0
0.9375 11445.14 174.55738 -7087.5268 -7087.5268 0 0
0.96875 -129104.51 174.58863 -882.02907 -882.02907 0 0
1 0 174.61988 7578.198 7578.198 0 0
1.03125 129104.51 174.65113 -355.60638 -355.60638 0 0
1.0625 -11445.14 174.68238 -7185.5534 -7185.5534 0 0
1.09375 -116365.67 174.71363 1444.7476 1444.7476 0 0
1.125 19736.753 174.74488 6039.7097 6039.7097 0 0
1.15625 94525.479 174.77613 -2098.4061 -2098.4061 0 0
1.1875 -23124.571 174.80738 -4491.8919 -4491.8919 0 0
1.21875 -69187.112 174.83863 2224.9329 2224.9329 0 0
1.25 21817.247 174.86988 2944.8226 2944.8226 0 0
1.28125 45615.746 174.90113 -1931.9259 -1931.9259 0 0
1.3125 -17481.405 174.93238 -1690.3152 -1690.3152 0 0
1.34375 -27078.151 174.96363 1431.1633 1431.1633 0 0
1.375 12181.488 174.99488 839.21156 839.21156 0 0
1.40625 14463.254 175.02613 -922.03222 -922.03222 0 0
1.4375 -7475.8945 175.05738 -351.95615 -351.95615 0 0
1.46875 -6945.2867 175.08863 521.99255 521.99255 0 0
1.5 4071.3718 175.11988 118.0883 118.0883 0 0
1.53125 2995.0287 175.15113 -261.25773 -261.25773 0 0
1.5625 -1977.1709 175.18238 -26.541789 -26.541789 0 0
1.59375 -1158.0714 175.21363 116.0185 116.0185 0 0
1.625 859.03913 175.24488 -0.34916248 -0.34916248 0 0
1.65625 400.66498 175.27613 -45.806639 -45.806639 0 0
1.6875 -334.71217 175.30738 4.3367978 4.3367978 0 0
1.71875 -123.6667 175.33863 16.094132 16.094132 0 0
1.75 117.15859 175.36988 -2.8746095 -2.8746095 0 0
1.78125 33.905313 175.40113 -5.03174 -5.03174 0 0
1.8125 -36.888527 175.43238 1.3045768 1.3045768 0 0
1.84375 -8.2022704 175.46363 1.3984452 1.3984452 0 0
1.875 10.458371 175.49488 -0.47950213 -0.47950213 0 0
1.90625 1.7317652 175.52613 -0.34441863 -0.34441863 0 0
1.9375 -2.6720176 175.55738 0.16400313 0.16400313 0 0
1.96875 -0.31279882 175.58863 0.069294159 0.069294159 0 0
2 0.61559374 175.61988 -0.1159752 -0.1159752 0 0
2.03125 0.046324049 175.65113 0.032867284 0.032867284 0 0
2.0625 -0.12795357 175.68238 0.32491779 0.32491779 0 0
2.09375 -0.0049851717 175.71363 -0.27755888 -0.27755888 0 0
2.125 0.024004699 175.74488 -1.1625891 -1.1625891 0 0
2.15625 0.00017436516 175.77613 1.3545114 1.3545114 0 0
2.1875 -0.0040660738 175.80738 3.7815059 3.7815059 0 0
2.21875 8.3688086e-05 175.83863 -5.5871756 -5.5871756 0 0
2.25 0.00062203153 175.86988 -10.837901 -10.837901 0 0
2.28125 -2.8101696e-05 175.90113 20.026778 20.026778 0 0
2.3125 -8.5962494e-05 175.93238 27.027056 27.027056 0 0
2.34375 5.7607325e-06 175.96363 -63.056846 -63.056846 0 0
2.375 1.0733671e-05 175.99488 -57.448033 -57.448033 0 0
2.40625 -9.2849026e-07 176.02613 175.46278 175.46278 0 0
2.4375 -1.2111504e-06 176.05738 99.587194 99.587194 0 0
2.46875 1.2594158e-07 176.08863 -432.99931 -432.99931 0 0
2.5 1.2351307e-07 176.11988 -123.92162 -123.92162 0 0
2.53125 -1.4791167e-08 176.15113 949.3837 949.3837 0 0
2.5625 -1.1385067e-08 176.18238 43.573912 43.573912 0 0
2.59375 1.5262787e-09 176.21363 -1850.6159 -1850.6159 0 0
2.625 9.4863332e-10 176.24488 311.2673 311.2673 0 0
2.65625 -1.3956354e-10 176.27613 3205.534 3205.534 0 0
2.6875 -7.1453547e-11 176.30738 -1179.672 -1179.672 0 0
2.71875 1.1370297e-11 176.33863 -4925.6886 -4925.6886 0 0
2.75 4.865475e-12 176.36988 2781.9485 2781.9485 0 0
2.78125 -8.2836831e-13 176.40113 6692.9921 6692.9921 0 0
2.8125 -2.9950721e-13 176.43238 -5162.8418 -5162.8418 0 0
2.84375 5.4106844e-14 176.46363 -7997.5227 -7997.5227 0 0
2.875 1.6667318e-14 176.49488 8044.3171 8044.3171 0 0
2.90625 -3.1745629e-15 176.52613 8323.806 8323.806 0 0
2.9375 -8.384698e-16 176.55738 -10811.764 -10811.764 0 0
2.96875 1.6754958e-16 176.58863 -7414.652 -7414.652 0 0
3 3.8128528e-17 176.61988 12706.855 12706.855 0 0
3.03125 -7.9636956e-18 176.65113 5448.8738 5448.8738 0 0
3.0625 -1.5671886e-18 176.68238 -13158.436 -13158.436 0 0
3.09375 3.4117799e-19 176.71363 -2993.4732 -2993.4732 0 0
3.125 5.821809e-20 176.74488 12057.969 12057.969 0 0
3.15625 -1.3184116e-20 176.77613 740.12532 740.12532 0 0
3.1875 -1.9543612e-21 176.80738 -9800.587 -9800.587 0 0
3.21875 4.5980853e-22 176.83863 808.13766 808.13766 0 0
3.25 5.9277901e-23 176.86988 7071.4292 7071.4292 0 0
3.28125 -1.4479988e-23 176.90113 -1508.1157 -1508.1157 0 0
3.3125 -1.6241896e-24 176.93238 -4527.4392 -4527.4392 0 0
3.34375 4.1190765e-25 176.96363 1533.7059 1533.7059 0 0
3.375 4.0191327e-26 176.99488 2567.4573 2567.4573 0 0
3.40625 -1.0588161e-26 177.02613 -1198.2018 -1198.2018 0 0
3.4375 -8.9795073e-28 177.05738 -1284.9638 -1284.9638 0 0
3.46875 2.4601252e-28 177.08863 779.59152 779.59152 0 0
3.5 1.810681e-29 177.11988 563.93724 563.93724 0 0
3.53125 -5.167963e-30 177.15113 -436.1984 -436.1984 0 0
3.5625 -3.2938994e-31 177.18238 -214.5175 -214.5175 0 0
3.59375 9.8175281e-32 177.21363 213.32181 213.32181 0 0
3.625 5.4028484e-33 177.24488 68.93014 68.93014 0 0
3.65625 -1.6868973e-33 177.27613 -92.225486 -92.225486 0 0
3.6875 -7.9852191e-35 177.30738 -16.717886 -16.717886 0 0
3.71875 2.622117e-35 177.33863 35.970469 35.970469 0 0
3.75 1.062512e-36 177.36988 -1.4624399 -1.4624399 0 0
3.78125 -3.687713e-37 177.40113 -13.525966 -13.525966 0 0
3.8125 -1.271429e-38 177.43238 14.745562 14.745562 0 0
3.84375 4.6931174e-39 177.46363 4.6093246 4.6093246 0 0
3.875 1.3663022e-40 177.49488 -41.565413 -41.565413 0 0
3.90625 -5.4052582e-41 177.52613 6.3032349 6.3032349 0 0
3.9375 -1.3160656e-42 177.55738 102.63807 102.63807 0 0
3.96875 5.6346687e-43 177.58863 -41.164537 -41.164537 0 0
4 1.1333354e-44 177.61988 -226.05749 -226.05749 0 0
4.03125 -5.3169051e-45 177.65113 141.71005 141.71005 0 0
4.0625 -8.6933565e-47 177.68238 441.56798 441.56798 0 0
4.09375 4.5417759e-47 177.71363 -379.47422 -379.47422 0 0
4.125 5.9071363e-49 177.74488 -760.58933 -760.58933 0 0
4.15625 -3.5123919e-49 177.77613 850.84146 850.84146 0 0
4.1875 -3.5248691e-51 177.80738 1145.5119 1145.5119 0 0
4.21875 2.4593589e-51 177.83863 -1643.6859 -1643.6859 0 0
4.25 1.8195051e-53 177.86988 -1486.3154 -1486.3154 0 0
4.28125 -1.5592329e-53 177.90113 2774.8656 2774.8656 0 0
4.3125 -7.8885675e-56 177.93238 1613.2549 1613.2549 0 0
4.34375 8.9515107e-56 177.96363 -4125.7417 -4125.7417 0 0
4.375 2.6740472e-58 177.99488 -1363.0291 -1363.0291 0 0
4.40625 -4.6537382e-58 178.02613 5426.4719 5426.4719 0 0
4.4375 -5.3733659e-61 178.05738 677.32122 677.32122 0 0
4.46875 2.1910381e-60 178.08863 -6328.5408 -6328.5408 0 0
4.5 -1.0148499e-63 178.11988 327.78832 327.78832 0 0
4.53125 -9.3424481e-63 178.15113 6549.6883 6549.6883 0 0
4.5625 1.7639349e-65 178.18238 -1382.7639 -1382.7639 0 0
4.59375 3.6078889e-65 178.21363 -6012.5044 -6012.5044 0 0
4.625 -1.1327428e-67 178.24488 2180.7331 2180.7331 0 0
4.65625 -1.2619578e-67 178.27613 4886.2349 4886.2349 0 0
